Species	Symbol	Ensembl	Family	Protein	Entrez_ID
Caenorhabditis_elegans	Y48C3A.12	WBGene00012994	TSC22	Y48C3A.12.1;	190022
Caenorhabditis_elegans	tub-2	WBGene00022139	Tub	Y71G12A.3b.1;Y71G12A.3a.1;	171758
Caenorhabditis_elegans	hinf-1	WBGene00009553	zf-C2H2	F39B2.1.1;	173348
Caenorhabditis_elegans	ztf-16	WBGene00019960	zf-C2H2	R08E3.4a.1;R08E3.4b.1;	180756
Caenorhabditis_elegans	tra-1	WBGene00006604	zf-C2H2	Y47D3A.6b.1;Y47D3A.6a.1;	176548
Caenorhabditis_elegans	nmr-1	WBGene00003774	zf-LITAF-like	F07F6.6.2;F07F6.6.1;	173929
Caenorhabditis_elegans	hmbx-1	WBGene00018786	Homeobox	F54A5.1.1;	171679
Caenorhabditis_elegans	hsf-1	WBGene00002004	HSF	Y53C10A.12.1;	173078
Caenorhabditis_elegans	unc-4	WBGene00006744	Homeobox	F26C11.2.1;	174544
Caenorhabditis_elegans	ceh-33	WBGene00000454	Homeobox	C10G8.7.1;	191622
Caenorhabditis_elegans	nhr-204	WBGene00019816	RXR-like	R02C2.4a.1;R02C2.4b.1;	187519
Caenorhabditis_elegans	sox-2	WBGene00004949	HMG	K08A8.2a.1;K08A8.2b.1;K08A8.2a.3;K08A8.2a.2;K08A8.2b.2;	181002
Caenorhabditis_elegans	ceh-28	WBGene00000450	Homeobox	K03A11.3.1;	191619
Caenorhabditis_elegans	nhr-247	WBGene00014193	SF-like	ZK1037.5.1;	191500
Caenorhabditis_elegans	let-391	WBGene00006492	zf-C2H2	C27A12.3.1;	182953
Caenorhabditis_elegans	F26F4.8	WBGene00005011	zf-C2H2	F26F4.8.1;	184991
Caenorhabditis_elegans	php-3	WBGene00004024	Homeobox	Y75B8A.1.1;Y75B8A.1.2;	176640
Caenorhabditis_elegans	nhr-221	WBGene00020748	RXR-like	T24A6.8b.1;T24A6.8a.1;	188826
Caenorhabditis_elegans	hlh-26	WBGene00001965	bHLH	C17C3.8.1;	173939
Caenorhabditis_elegans	med-1	WBGene00003180	zf-GATA	T24D3.1.1;	191705
Caenorhabditis_elegans	nhr-262	WBGene00008619	RXR-like	F09C6.8.1;	184235
Caenorhabditis_elegans	nhr-252	WBGene00022637	ESR-like	ZK6.2.1;	191203
Caenorhabditis_elegans	sea-1	WBGene00004750	T-box	F19B10.9.1;	173710
Caenorhabditis_elegans	ceh-37	WBGene00000458	Homeobox	C37E2.5a.1;C37E2.5b.1;C37E2.5a.2;C37E2.5c.1;C37E2.5a.3;	181530
Caenorhabditis_elegans	xbp-1	WBGene00006959	TF_bZIP	R74.3c.1;R74.3a.1;R74.3b.1;	175541
Caenorhabditis_elegans	nhr-208	WBGene00011099	GCNF-like	R07B7.15.1;	187662
Caenorhabditis_elegans	R10E4.11	WBGene00011206	zf-C2H2	R10E4.11b.1;	175554
Caenorhabditis_elegans	lin-1	WBGene00002990	ETS	C37F5.1b.2;C37F5.1a.1;C37F5.1b.1;	177016
Caenorhabditis_elegans	C04F5.9	WBGene00015451	zf-C2H2	C04F5.9.1;	178899
Caenorhabditis_elegans	ceh-91	WBGene00013425	Homeobox	Y66A7A.5.1;	176594
Caenorhabditis_elegans	ets-5	WBGene00016600	ETS	C42D8.4b.1;C42D8.4a.1;	180778
Caenorhabditis_elegans	efl-3	WBGene00009899	E2F	F49E12.6.1;	174341
Caenorhabditis_elegans	nhr-248	WBGene00013940	SF-like	ZK218.6.1;	191246
Caenorhabditis_elegans	nhr-276	WBGene00013512	ESR-like	Y71A12C.1.1;	190581
Caenorhabditis_elegans	cey-1	WBGene00000472	CSD	F33A8.3.1;	174690
Caenorhabditis_elegans	tbx-37	WBGene00006556	T-box	Y47D3A.12.1;	189977
Caenorhabditis_elegans	mab-5	WBGene00003102	Homeobox	C08C3.3.1;	176091
Caenorhabditis_elegans	pbrm-1	WBGene00007042	HMG	C26C6.1b.3;C26C6.1b.2;C26C6.1a.1;C26C6.1b.1;	172504
Caenorhabditis_elegans	F56B3.9	WBGene00018933	zf-BED	F56B3.9.1;	186358
Caenorhabditis_elegans	ztf-30	WBGene00015523	zf-C2H2	C06E1.8.1;	182317
Caenorhabditis_elegans	ces-1	WBGene00000468	zf-C2H2	F43G9.11.1;	185718
Caenorhabditis_elegans	met-2	WBGene00019883	MBD	R05D3.11.1;	176183
Caenorhabditis_elegans	atf-2	WBGene00000220	TF_bZIP	K08F8.2.1;	174399
Caenorhabditis_elegans	Y48G9A.11	WBGene00021704	zf-C2H2	Y48G9A.11.1;	190056
Caenorhabditis_elegans	nhr-189	WBGene00018545	SF-like	F47C10.8.1;	185913
Caenorhabditis_elegans	nhr-36	WBGene00017198	RXR-like	F07C3.10.1;	24104398
Caenorhabditis_elegans	hlh-11	WBGene00001955	bHLH	F58A4.7b.3;F58A4.7b.2;F58A4.7a.2;F58A4.7c.1;F58A4.7b.1;F58A4.7c.2;F58A4.7a.1;	176360
Caenorhabditis_elegans	ceh-58	WBGene00007417	Homeobox	C07E3.6.1;	182371
Caenorhabditis_elegans	ceh-39	WBGene00000460	CUT	T26C11.7.2;T26C11.7.1;	180505
Caenorhabditis_elegans	egrh-3	WBGene00044651	zf-C2H2	Y94H6A.11a.1;	4363076
Caenorhabditis_elegans	ztf-3	WBGene00016905	zf-C2H2	C53D5.4e.1;C53D5.4b.1;C53D5.4d.1;C53D5.4a.1;C53D5.4f.1;C53D5.4c.1;	171617
Caenorhabditis_elegans	sma-9	WBGene00004862	zf-C2H2	T05A10.1j.1;T05A10.1l.1;T05A10.1e.1;T05A10.1m.1;T05A10.1i.1;T05A10.1g.1;T05A10.1f.1;T05A10.1g.2;T05A10.1d.1;T05A10.1a.1;T05A10.1c.1;T05A10.1h.1;	181271
Caenorhabditis_elegans	zag-1	WBGene00006970	zf-C2H2	F28F9.1.1;	177144
Caenorhabditis_elegans	bcl-11	WBGene00017430	zf-C2H2	F13H6.1b.2;F13H6.1b.1;F13H6.1a.1;	179019
Caenorhabditis_elegans	lst-5	WBGene00016890	zf-C2H2	C52E12.6.1;	353399
Caenorhabditis_elegans	nhr-157	WBGene00015900	THR-like	C17E7.5.1;	182730
Caenorhabditis_elegans	Y5F2A.4	WBGene00012385	zf-C2H2	Y5F2A.4.1;	178004
Caenorhabditis_elegans	ceh-44	WBGene00000464	CUT	Y54F10AM.4a.1;	175372
Caenorhabditis_elegans	ceh-8	WBGene00000433	Homeobox	ZK265.4a.1;ZK265.4b.1;	191617
Caenorhabditis_elegans	ztf-26	WBGene00010137	zf-C2H2	F55H12.6c.1;F55H12.6a.1;F55H12.6b.1;	172699
Caenorhabditis_elegans	fkh-7	WBGene00001439	Fork_head	F26D12.1l.2;F26D12.1a.1;F26D12.1o.1;F26D12.1g.1;F26D12.1h.2;F26D12.1h.1;F26D12.1b.1;F26D12.1n.1;F26D12.1i.1;F26D12.1m.1;F26D12.1k.1;F26D12.1e.1;F26D12.1b.2;F26D12.1m.2;F26D12.1j.1;F26D12.1l.1;	177340
Caenorhabditis_elegans	mxl-1	WBGene00003509	bHLH	T19B10.11.1;	179557
Caenorhabditis_elegans	fezf-1	WBGene00012639	zf-C2H2	Y38H8A.5.1;	3564888
Caenorhabditis_elegans	hlh-33	WBGene00021446	bHLH	Y39A3CR.6.1;	189728
Caenorhabditis_elegans	nhr-8	WBGene00003607	THR-like	F33D4.1a.1;F33D4.1b.1;	177551
Caenorhabditis_elegans	Y50E8A.12	WBGene00013055	THAP	Y50E8A.12c.1;Y50E8A.12a.1;	190112
Caenorhabditis_elegans	F19F10.1	WBGene00017598	ETS	F19F10.1.2;F19F10.1.1;	184684
Caenorhabditis_elegans	F16F9.1	WBGene00017513	zf-LITAF-like	F16F9.1.1;F16F9.1.2;	184573
Caenorhabditis_elegans	lin-31	WBGene00003017	Fork_head	K10G6.1.1;	173740
Caenorhabditis_elegans	ceh-87	WBGene00018022	Homeobox	F34D6.2.1;	185241
Caenorhabditis_elegans	ztf-14	WBGene00010936	zf-C2H2	M163.2.1;	187492
Caenorhabditis_elegans	nhr-253	WBGene00022639	RXR-like	ZK6.4.1;	191205
Caenorhabditis_elegans	tbx-43	WBGene00044798	T-box	Y46E12A.4.1;	4363053
Caenorhabditis_elegans	F41B5.1	WBGene00023284	zf-BED	F41B5.1.1;	13211878
Caenorhabditis_elegans	ZK177.11	WBGene00044390	bHLH	ZK177.11.1;	3565223
Caenorhabditis_elegans	nhr-175	WBGene00008630	SF-like	F09F3.10.1;	184255
Caenorhabditis_elegans	pat-9	WBGene00003933	zf-C2H2	T27B1.2.1;	181714
Caenorhabditis_elegans	hlh-4	WBGene00001951	bHLH	T05G5.2.1;	176372
Caenorhabditis_elegans	nhr-186	WBGene00018541	RXR-like	F47C10.3b.1;F47C10.3a.1;	185909
Caenorhabditis_elegans	ceh-93	WBGene00019864	Homeobox	R04A9.5.1;	180394
Caenorhabditis_elegans	nhr-206	WBGene00011097	ESR-like	R07B7.13a.1;R07B7.13b.1;	187660
Caenorhabditis_elegans	ceh-21	WBGene00000444	CUT	T26C11.6.1;	180504
Caenorhabditis_elegans	aptf-4	WBGene00009202	AP-2	F28C6.1.1;	174376
Caenorhabditis_elegans	ceh-17	WBGene00000440	Homeobox	D1007.1.1;	172059
Caenorhabditis_elegans	sptf-3	WBGene00012735	zf-C2H2	Y40B1A.4.1;	189783
Caenorhabditis_elegans	dpy-20	WBGene00001079	zf-BED	T22B3.1.1;	178105
Caenorhabditis_elegans	F26A10.2	WBGene00017814	zf-C2H2	F26A10.2.1;	181025
Caenorhabditis_elegans	che-1	WBGene00000483	zf-C2H2	C55B7.12b.1;C55B7.12a.1;	183847
Caenorhabditis_elegans	ets-7	WBGene00017601	ETS	F19F10.5.1;	184687
Caenorhabditis_elegans	nfya-2	WBGene00043056	NF-YA	Y53H1A.5c.1;Y53H1A.5b.1;Y53H1A.5a.1;	3565955
Caenorhabditis_elegans	cebp-2	WBGene00016754	TF_bZIP	C48E7.11.2;C48E7.11.1;	172319
Caenorhabditis_elegans	pros-1	WBGene00000448	HPD	K12H4.1.1;	176137
Caenorhabditis_elegans	sma-3	WBGene00004857	MH1	R13F6.9.1;	175955
Caenorhabditis_elegans	aha-1	WBGene00000095	bHLH	C25A1.11b.1;C25A1.11a.1;	172889
Caenorhabditis_elegans	W02D7.6	WBGene00020942	zf-C2H2	W02D7.6.1;	179212
Caenorhabditis_elegans	end-1	WBGene00001310	zf-GATA	F58E10.2.1;	179893
Caenorhabditis_elegans	nhr-154	WBGene00007547	RXR-like	C13C4.2.1;	182565
Caenorhabditis_elegans	nhr-23	WBGene00003622	THR-like	C01H6.5b.1;C01H6.5c.1;C01H6.5d.1;C01H6.5e.1;C01H6.5f.1;C01H6.5a.1;	172460
Caenorhabditis_elegans	zfh-2	WBGene00022518	Homeobox	ZC123.3d.1;ZC123.3a.1;ZC123.3e.1;ZC123.3b.1;ZC123.3f.1;ZC123.3c.1;	171670
Caenorhabditis_elegans	nhr-269	WBGene00011150	SF-like	R08H2.9.1;	187716
Caenorhabditis_elegans	nhr-285	WBGene00012056	THR-like	T26E4.16.1;	3565155
Caenorhabditis_elegans	ztf-2	WBGene00008762	zf-C2H2	F13G3.1.1;	184429
Caenorhabditis_elegans	tbx-9	WBGene00006546	T-box	T07C4.6.1;	176449
Caenorhabditis_elegans	nhr-3	WBGene00003602	RXR-like	H01A20.1.1;	181551
Caenorhabditis_elegans	fkh-5	WBGene00001437	Fork_head	F26A1.2.1;	184944
Caenorhabditis_elegans	C09F5.3	WBGene00015649	zf-C2H2	C09F5.3.1;	182454
Caenorhabditis_elegans	eor-1	WBGene00001324	ZBTB	R11E3.6a.1;R11E3.6a.1;R11E3.6b.1;	177249
Caenorhabditis_elegans	ceh-54	WBGene00020485	Homeobox	T13C5.4.1;	188474
Caenorhabditis_elegans	nhr-10	WBGene00003609	RXR-like	B0280.8.1;	175993
Caenorhabditis_elegans	ceh-10	WBGene00000435	Homeobox	W03A3.1.1;	175811
Caenorhabditis_elegans	ref-2	WBGene00004335	zf-C2H2	C47C12.3a.1;C47C12.3b.1;C47C12.3a.2;	183539
Caenorhabditis_elegans	fax-1	WBGene00001400	RXR-like	F56E3.4a.1;F56E3.4b.1;	180609
Caenorhabditis_elegans	gei-3	WBGene00001560	HMG	T22H6.6b.1;T22H6.6a.1;	184597
Caenorhabditis_elegans	B0348.2	WBGene00015152	zf-LITAF-like	B0348.2a.1;	181936
Caenorhabditis_elegans	tbx-42	WBGene00022000	T-box	Y59E9AR.5.1;	190421
Caenorhabditis_elegans	nhr-13	WBGene00003612	ESR-like	Y5H2B.2b.1;Y5H2B.2a.2;Y5H2B.2a.1;Y5H2B.2b.2;	178696
Caenorhabditis_elegans	ZK177.3	WBGene00022671	zf-C2H2	ZK177.3.1;	191237
Caenorhabditis_elegans	let-607	WBGene00002783	TF_bZIP	F57B10.1.2;F57B10.1.1;	266837
Caenorhabditis_elegans	swsn-3	WBGene00022182	HMG	Y71H2AM.17.1;	175393
Caenorhabditis_elegans	hlh-8	WBGene00001953	bHLH	C02B8.4.1;	181069
Caenorhabditis_elegans	mdl-1	WBGene00003163	bHLH	R03E9.1.1;	180942
Caenorhabditis_elegans	sbp-1	WBGene00004735	bHLH	Y47D3B.7.1;	176574
Caenorhabditis_elegans	hlh-32	WBGene00013665	bHLH	Y105C5B.29.1;	3565279
Caenorhabditis_elegans	npax-4	WBGene00007496	PAX	C09G9.7a.1;	182466
Caenorhabditis_elegans	nhr-148	WBGene00015396	RXR-like	C03G6.10.1;	182172
Caenorhabditis_elegans	Y40H7A.11	WBGene00012748	zf-LITAF-like	Y40H7A.11.1;	189810
Caenorhabditis_elegans	ceh-60	WBGene00017690	Homeobox	F22A3.5.1;	184803
Caenorhabditis_elegans	nhr-111	WBGene00003701	RXR-like	F44G3.9.1;	185757
Caenorhabditis_elegans	snpc-4	WBGene00001568	MYB	F32H2.1b.1;F32H2.1a.1;	172711
Caenorhabditis_elegans	B0336.7	WBGene00015147	THAP	B0336.7a.1;B0336.7b.1;	175792
Caenorhabditis_elegans	ast-1	WBGene00020368	ETS	T08H4.3.1;	173749
Caenorhabditis_elegans	elt-2	WBGene00001250	zf-GATA	C33D3.1.1;	181250
Caenorhabditis_elegans	hlh-17	WBGene00001961	bHLH	F38C2.2.1;	185460
Caenorhabditis_elegans	nhr-51	WBGene00003641	GCNF-like	K06B4.1.1;	180052
Caenorhabditis_elegans	nhr-196	WBGene00010600	RXR-like	K06B4.5.1;	187053
Caenorhabditis_elegans	C27A2.7	WBGene00044386	zf-C2H2	C27A2.7.1;	3565834
Caenorhabditis_elegans	vab-3	WBGene00006870	PAX	F14F3.1a.1;F14F3.1b.1;F14F3.1c.1;	181251
Caenorhabditis_elegans	nhr-121	WBGene00003711	RXR-like	E02H9.8a.2;E02H9.8a.1;E02H9.8b.2;E02H9.8b.1;	184003
Caenorhabditis_elegans	K11D12.12	WBGene00019651	zf-C2H2	K11D12.12.1;	259619
Caenorhabditis_elegans	nhr-166	WBGene00016772	RXR-like	C49D10.2.1;	183605
Caenorhabditis_elegans	myrf-2	WBGene00008999	NDT80_PhoG	F21A10.2a.3;F21A10.2e.1;F21A10.2b.1;F21A10.2a.2;F21A10.2c.1;F21A10.2d.1;F21A10.2a.1;	181229
Caenorhabditis_elegans	nhr-238	WBGene00021611	ESR-like	Y46H3D.7a.1;	189971
Caenorhabditis_elegans	unc-55	WBGene00006790	RXR-like	F55D12.4a.1;F55D12.4b.1;	192082
Caenorhabditis_elegans	npax-1	WBGene00017664	PAX	F21D12.5.1;	184779
Caenorhabditis_elegans	spr-1	WBGene00005006	MYB	D1014.8.1;	179192
Caenorhabditis_elegans	tub-1	WBGene00006655	Tub	F10B5.4.1;	174312
Caenorhabditis_elegans	nhr-159	WBGene00015902	SF-like	C17E7.7a.1;C17E7.7b.1;	182732
Caenorhabditis_elegans	npax-3	WBGene00011257	PAX	R13.2.1;	187848
Caenorhabditis_elegans	nhr-147	WBGene00015395	RXR-like	C03G6.8.1;	182170
Caenorhabditis_elegans	ceh-41	WBGene00000462	Homeobox	T26C11.5.1;	180503
Caenorhabditis_elegans	ets-8	WBGene00016798	ETS	C50A2.4.1;C50A2.4.2;	183631
Caenorhabditis_elegans	nhr-49	WBGene00003639	RXR-like	K10C3.6a.2;K10C3.6c.2;K10C3.6b.2;K10C3.6d.2;K10C3.6a.3;K10C3.6e.1;K10C3.6a.1;K10C3.6c.1;K10C3.6d.1;K10C3.6b.1;	172839
Caenorhabditis_elegans	nfx-1	WBGene00007048	zf-NF-X1	C16A3.7.1;	175902
Caenorhabditis_elegans	tbx-34	WBGene00006553	T-box	Y47D3A.10.1;	176549
Caenorhabditis_elegans	irx-1	WBGene00007984	Homeobox	C36F7.1.1;	172789
Caenorhabditis_elegans	zip-7	WBGene00013100	TF_bZIP	Y51H4A.4a.1;	178459
Caenorhabditis_elegans	dmd-10	WBGene00007929	DM	C34D1.1.1;	183202
Caenorhabditis_elegans	egl-27	WBGene00001194	zf-GATA	C04A2.3e.1;C04A2.3h.1;C04A2.3p.1;C04A2.3a.1;C04A2.3j.1;C04A2.3b.1;C04A2.3f.1;C04A2.3d.1;C04A2.3g.1;C04A2.3k.1;C04A2.3r.1;C04A2.3n.1;C04A2.3i.1;C04A2.3o.1;C04A2.3q.1;C04A2.3m.1;	174121
Caenorhabditis_elegans	ztf-25	WBGene00012405	zf-C2H2	Y6G8.3.1;	180158
Caenorhabditis_elegans	mxl-2	WBGene00003510	bHLH	F40G9.11.1;	175184
Caenorhabditis_elegans	ccch-1	WBGene00009532	zf-CCCH	F38B7.1b.1;F38B7.1a.1;	179584
Caenorhabditis_elegans	R07E5.5	WBGene00011113	zf-C2H2	R07E5.5.1;	187681
Caenorhabditis_elegans	T22C8.3	WBGene00011924	zf-C2H2	T22C8.3.1;	188731
Caenorhabditis_elegans	elt-1	WBGene00001249	zf-GATA	W09C2.1b.1;W09C2.1d.1;W09C2.1c.1;W09C2.1f.1;W09C2.1a.1;	177794
Caenorhabditis_elegans	vab-15	WBGene00006881	Homeobox	R07B1.1.1;	181197
Caenorhabditis_elegans	ces-2	WBGene00000469	TF_bZIP	ZK909.4.1;	173365
Caenorhabditis_elegans	atf-8	WBGene00017535	TF_bZIP	F17A9.3.1;	178998
Caenorhabditis_elegans	fkh-2	WBGene00001434	Fork_head	T14G12.4a.1;T14G12.4b.2;T14G12.4b.1;	180663
Caenorhabditis_elegans	cey-3	WBGene00000474	CSD	M01E11.5.1;M01E11.5.2;	172211
Caenorhabditis_elegans	fos-1	WBGene00001345	TF_bZIP	F29G9.4a.1;F29G9.4b.1;	178987
Caenorhabditis_elegans	fkh-6	WBGene00001438	Fork_head	B0286.5.1;	181907
Caenorhabditis_elegans	nhr-41	WBGene00022423	RXR-like	Y104H12A.1a.1;Y104H12A.1c.2;Y104H12A.1c.1;Y104H12A.1b.1;Y104H12A.1e.1;Y104H12A.1b.2;Y104H12A.1d.1;Y104H12A.1e.3;Y104H12A.1e.2;	190865
Caenorhabditis_elegans	mab-3	WBGene00003100	DM	Y53C12B.5a.1;	174533
Caenorhabditis_elegans	ehn-3	WBGene00001223	zf-C2H2	ZK616.10b.1;ZK616.10c.1;ZK616.10a.1;	191363
Caenorhabditis_elegans	tbx-8	WBGene00006545	T-box	T07C4.2.1;	176450
Caenorhabditis_elegans	ZC247.1	WBGene00013859	HTH	ZC247.1.1;	172895
Caenorhabditis_elegans	egrh-2	WBGene00043705	zf-C2H2	Y55F3AM.7d.1;Y55F3AM.7b.1;Y55F3AM.7c.1;Y55F3AM.7a.1;	190308
Caenorhabditis_elegans	blmp-1	WBGene00003847	zf-C2H2	F25D7.3a.1;F25D7.3b.1;	172917
Caenorhabditis_elegans	nhr-141	WBGene00017787	RXR-like	F25E5.6.1;	184926
Caenorhabditis_elegans	atf-6	WBGene00000222	TF_bZIP	F45E6.2.1;	181405
Caenorhabditis_elegans	lin-39	WBGene00003024	Homeobox	C07H6.7.1;C07H6.7.2;	176068
Caenorhabditis_elegans	nhr-105	WBGene00003695	NGFIB-like	C06G3.1a.1;C06G3.1a.2;C06G3.1b.1;C06G3.1b.2;	177476
Caenorhabditis_elegans	ceh-12	WBGene00000436	Homeobox	F33D11.4b.1;F33D11.4a.1;	172255
Caenorhabditis_elegans	camt-1	WBGene00020251	CG-1	T05C1.4b.1;T05C1.4a.1;	173786
Caenorhabditis_elegans	slr-2	WBGene00013350	zf-C2H2	Y59A8B.13d.1;Y59A8B.13b.1;Y59A8B.13c.1;Y59A8B.13a.1;	190396
Caenorhabditis_elegans	mab-23	WBGene00003114	DM	C32C4.5a.1;	266926
Caenorhabditis_elegans	grh-1	WBGene00001707	CP2	Y48G8AR.1b.1;Y48G8AR.1a.1;	190048
Caenorhabditis_elegans	sma-4	WBGene00004858	MH1	R12B2.1a.2;R12B2.1a.1;R12B2.1a.3;	175815
Caenorhabditis_elegans	ceh-24	WBGene00000447	Homeobox	F55B12.1.1;	179877
Caenorhabditis_elegans	lin-11	WBGene00003000	Homeobox	ZC247.3.1;	172893
Caenorhabditis_elegans	mef-2	WBGene00003182	SRF	W10D5.1.1;	172732
Caenorhabditis_elegans	unc-120	WBGene00006844	SRF	D1081.2.1;	172636
Caenorhabditis_elegans	atfs-1	WBGene00013878	TF_bZIP	ZC376.7d.1;ZC376.7c.2;ZC376.7c.1;ZC376.7d.2;ZC376.7b.2;ZC376.7a.2;ZC376.7b.1;ZC376.7a.1;	179922
Caenorhabditis_elegans	lin-28	WBGene00003014	CSD	F02E9.2a.1;F02E9.2b.1;	172626
Caenorhabditis_elegans	hmg-20	WBGene00012209	HMG	W02D9.3.1;	173124
Caenorhabditis_elegans	ceh-88	WBGene00008195	Homeobox	C49C3.5.1;	178514
Caenorhabditis_elegans	ceh-92	WBGene00013431	Homeobox	Y66D12A.5.1;	176591
Caenorhabditis_elegans	K11D2.4	WBGene00010770	zf-C2H2	K11D2.4e.1;K11D2.4d.1;K11D2.4c.1;K11D2.4b.1;K11D2.4a.1;	187291
Caenorhabditis_elegans	nhr-260	WBGene00016517	RXR-like	C38C3.9.1;	183304
Caenorhabditis_elegans	F56D1.1	WBGene00018959	zf-C2H2	F56D1.1.1;	186375
Caenorhabditis_elegans	ceh-100	WBGene00012584	Homeobox	Y38E10A.6a.1;Y38E10A.6b.1;	174894
Caenorhabditis_elegans	ztf-23	WBGene00021846	zf-C2H2	Y54E10BR.8.1;	171880
Caenorhabditis_elegans	cog-1	WBGene00000584	Homeobox	R03C1.3a.1;R03C1.3b.1;	175149
Caenorhabditis_elegans	egl-18	WBGene00001186	zf-GATA	F55A8.1a.2;F55A8.1a.1;F55A8.1b.1;	176992
Caenorhabditis_elegans	ceh-38	WBGene00000459	CUT	F22D3.1l.1;F22D3.1d.1;F22D3.1h.1;F22D3.1f.1;F22D3.1p.1;F22D3.1c.2;F22D3.1c.1;F22D3.1d.2;F22D3.1o.1;F22D3.1i.1;F22D3.1e.1;F22D3.1g.1;F22D3.1n.1;F22D3.1j.1;F22D3.1b.1;F22D3.1m.1;F22D3.1a.1;F22D3.1k.1;	174136
Caenorhabditis_elegans	saeg-1	WBGene00010012	MYB	F53H10.2d.1;F53H10.2c.1;F53H10.2b.1;F53H10.2a.1;	179505
Caenorhabditis_elegans	nhr-185	WBGene00018539	RXR-like	F47C10.1.1;	185907
Caenorhabditis_elegans	lin-32	WBGene00003018	bHLH	T14F9.5.1;	191703
Caenorhabditis_elegans	hmg-5	WBGene00001975	HMG	F45E4.9.1;	177543
Caenorhabditis_elegans	tra-4	WBGene00018740	zf-C2H2	F53B3.1.1;F53B3.1.2;	180575
Caenorhabditis_elegans	lin-22	WBGene00003008	bHLH	Y54G2A.1.1;	177082
Caenorhabditis_elegans	ceh-31	WBGene00000452	Homeobox	C33D12.1.1;	191621
Caenorhabditis_elegans	nhr-97	WBGene00003687	RXR-like	H27C11.1b.3;H27C11.1b.2;H27C11.1a.1;H27C11.1b.1;	177810
Caenorhabditis_elegans	zfp-2	WBGene00009448	zf-C2H2	F35H8.3.1;	174505
Caenorhabditis_elegans	spe-44	WBGene00007732	SAND	C25G4.4.1;	182915
Caenorhabditis_elegans	tbx-32	WBGene00006551	T-box	ZK380.1.1;	191303
Caenorhabditis_elegans	nob-1	WBGene00003779	Homeobox	Y75B8A.2b.1;Y75B8A.2a.1;	176641
Caenorhabditis_elegans	nhr-207	WBGene00011098	RXR-like	R07B7.14.1;	187661
Caenorhabditis_elegans	dpl-1	WBGene00001061	E2F	T23G7.1.2;T23G7.1.1;	174458
Caenorhabditis_elegans	dmd-5	WBGene00017326	DM	F10C1.5.1;	184287
Caenorhabditis_elegans	nhr-198	WBGene00010603	THR-like	K06B4.8.1;	187056
Caenorhabditis_elegans	sdz-12	WBGene00017406	zf-C2H2	F12E12.5.1;	184388
Caenorhabditis_elegans	vab-7	WBGene00006873	Homeobox	M142.4.1;	176521
Caenorhabditis_elegans	F43G9.12	WBGene00009672	GCFC	F43G9.12b.1;F43G9.12a.1;	172662
Caenorhabditis_elegans	ceh-84	WBGene00016557	Homeobox	C40D2.4.1;	183364
Caenorhabditis_elegans	ceh-18	WBGene00000441	Pou	ZC64.3b.1;ZC64.3a.1;ZC64.3c.1;	180671
Caenorhabditis_elegans	elt-6	WBGene00001253	zf-GATA	F52C12.5.1;F52C12.5.2;	176993
Caenorhabditis_elegans	tag-68	WBGene00006445	MH1	F37D6.6.1;	172930
Caenorhabditis_elegans	hlh-10	WBGene00001954	bHLH	ZK682.4.1;	191402
Caenorhabditis_elegans	nhr-188	WBGene00018544	RXR-like	F47C10.7a.1;F47C10.7b.1;	185912
Caenorhabditis_elegans	tbx-30	WBGene00006549	T-box	Y59E9AR.3.1;	190419
Caenorhabditis_elegans	gmeb-3	WBGene00008092	SAND	C44F1.2.1;	175487
Caenorhabditis_elegans	sox-4	WBGene00015716	HMG	C12D12.5a.1;C12D12.5b.1;	182547
Caenorhabditis_elegans	hlh-3	WBGene00001950	bHLH	T24B8.6.1;	174447
Caenorhabditis_elegans	nhr-17	WBGene00003616	RXR-like	C02B4.2.1;	191719
Caenorhabditis_elegans	Y37E11B.1	WBGene00021374	zf-C2H2	Y37E11B.1b.1;	177118
Caenorhabditis_elegans	nhr-173	WBGene00016975	RXR-like	C56E10.1.1;	183862
Caenorhabditis_elegans	ttx-1	WBGene00006652	Homeobox	Y113G7A.6a.1;Y113G7A.6b.1;Y113G7A.6d.1;Y113G7A.6c.1;	180313
Caenorhabditis_elegans	end-3	WBGene00001311	zf-GATA	F58E10.5.1;	191631
Caenorhabditis_elegans	bnc-1	WBGene00044791	zf-C2H2	F55C5.11.1;	4363106
Caenorhabditis_elegans	ceh-57	WBGene00007416	Homeobox	C07E3.5.1;	182370
Caenorhabditis_elegans	hlh-14	WBGene00001958	bHLH	C18A3.8.1;	182758
Caenorhabditis_elegans	nhr-274	WBGene00021522	GCNF-like	Y41D4B.21c.1;Y41D4B.21b.1;Y41D4B.21a.1;Y41D4B.21d.1;	189825
Caenorhabditis_elegans	tbx-38	WBGene00006557	T-box	C24H11.3.1;	182861
Caenorhabditis_elegans	skn-1	WBGene00004804	TF_bZIP	T19E7.2c.1;T19E7.2c.2;T19E7.2d.1;T19E7.2c.3;T19E7.2d.2;T19E7.2a.1;T19E7.2b.1;	177343
Caenorhabditis_elegans	ztf-28	WBGene00018099	zf-C2H2	F36F12.8.1;	185364
Caenorhabditis_elegans	lim-4	WBGene00002987	Homeobox	ZC64.4a.1;ZC64.4c.1;ZC64.4b.1;	180672
Caenorhabditis_elegans	nhr-138	WBGene00003728	ESR-like	C28D4.9.1;	3565904
Caenorhabditis_elegans	hmg-6	WBGene00009827	HMG	F47G4.6.1;	185946
